V2Codes,Description
66An.,Diabetes type 1 review
66At0,Type 1 diabetic dietary review
C108.,Type 1 diabetes mellitus
C1080,Type 1 diabetes mellitus with renal complications
C1081,Type 1 diabetes mellitus with ophthalmic complications
C1082,Type 1 diabetes mellitus with neurological complications
C1083,Type 1 diabetes mellitus with multiple complications
C1084,Unstable type I diabetes mellitus
C1084,Unstable type 1 diabetes mellitus
C1085,Type 1 diabetes mellitus with ulcer
C1086,Type 1 diabetes mellitus with gangrene
C1087,Type 1 diabetes mellitus with retinopathy
C1088,Type 1 diabetes mellitus - poor control
C1089,Type 1 diabetes mellitus maturity onset
C108A,Type 1 diabetes mellitus without complication
C108B,Type 1 diabetes mellitus with mononeuropathy
C108C,Type 1 diabetes mellitus with polyneuropathy
C108D,Type 1 diabetes mellitus with nephropathy
C108E,Type 1 diabetes mellitus with hypoglycaemic coma
C108F,Type 1 diabetes mellitus with diabetic cataract
C108G,Type 1 diabetes mellitus with peripheral angiopathy
C108H,Type 1 diabetes mellitus with arthropathy
C108J,Type 1 diabetes mellitus with neuropathic arthropathy
C10E.,Type 1 diabetes mellitus
C10E0,Type 1 diabetes mellitus with renal complications
C10E1,Type 1 diabetes mellitus with ophthalmic complications
C10E2,Type 1 diabetes mellitus with neurological complications
C10E3,Type 1 diabetes mellitus with multiple complications
C10E4,Unstable type I diabetes mellitus
C10E4,Unstable type 1 diabetes mellitus
C10E5,Type 1 diabetes mellitus with ulcer
C10E6,Type 1 diabetes mellitus with gangrene
C10E7,Type 1 diabetes mellitus with retinopathy
C10E8,Type 1 diabetes mellitus - poor control
C10E9,Type 1 diabetes mellitus maturity onset
C10EA,Type 1 diabetes mellitus without complication
C10EB,Type 1 diabetes mellitus with mononeuropathy
C10EC,Type 1 diabetes mellitus with polyneuropathy
C10ED,Type 1 diabetes mellitus with nephropathy
C10EE,Type 1 diabetes mellitus with hypoglycaemic coma
C10EF,Type 1 diabetes mellitus with diabetic cataract
C10EG,Type 1 diabetes mellitus with peripheral angiopathy
C10EH,Type 1 diabetes mellitus with arthropathy
C10EJ,Type 1 diabetes mellitus with neuropathic arthropathy
C10EK,Type 1 diabetes mellitus with persistent proteinuria
C10EL,Type 1 diabetes mellitus with persistent microalbuminuria
C10EM,Type 1 diabetes mellitus with ketoacidosis
C10EN,Type 1 diabetes mellitus with ketoacidotic coma
C10EP,Type 1 diabetes mellitus with exudative maculopathy
C10EQ,Type 1 diabetes mellitus with gastroparesis
C10P0,Type 1 diabetes mellitus in remission
